doc_id,source,category,file_path,file_name,status,priority
dnv_dnv_class_2026_04_dnv_cg_0128_db075599,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0128.pdf,DNV-CG-0128.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0129_02a84241,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0129.pdf,DNV-CG-0129.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0130_8b2947e6,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0130.pdf,DNV-CG-0130.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0131_5272d102,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0131.pdf,DNV-CG-0131.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0133_f1a10e01,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0133.pdf,DNV-CG-0133.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0134_a8bcffcc,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0134.pdf,DNV-CG-0134.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0135_961b911f,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0135.pdf,DNV-CG-0135.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0136_0e83189e,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0136.pdf,DNV-CG-0136.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0137_a08659ca,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0137.pdf,DNV-CG-0137.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0138_32976fa7,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0138.pdf,DNV-CG-0138.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0151_f4eb408c,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0151.pdf,DNV-CG-0151.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0152_67b79ed6,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0152.pdf,DNV-CG-0152.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0153_77fc28f9,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0153.pdf,DNV-CG-0153.pdf,pending,3
